weaponid,incidentid,weaponcaliber,weapondetails,weapontype
996,20081130CAOAG                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
997,20081202CAKIK                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
998,20081205MNSHF                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
999,20081212NCGUA                                                                                                                     ,9mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1000,20081212NYWIM                                                                                                                     ,9mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1001,20081221SCSUS                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1002,20081222FLLAL                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1003,20081227PAWIP                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1004,20081231GASHS                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1005,20081231OKKEN                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1006,20090108DEWIN                                                                                                                     ,Service Weapon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1007,20090109ILDUC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1008,20090114ILPEC                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1009,20090120ILCOC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1010,20090120MIBEM                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Multiple Handguns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1011,20090120PAEAE                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1012,20090123ILCAC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1013,20090127NCCLC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1014,20090210CABAE                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1015,20090211NCSCZ                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1016,20090217MICED                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1017,20090220CAJOH                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1018,20090223CTBRN                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1019,20090302SDROS                                                                                                                     ,Pellet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,Other                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1020,20090306NCWEF                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1021,20090310FLRIJ                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1022,20090311TXCYH                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1023,20090413CALOL                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1024,20090501WISHS                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1025,20090505NYCAC                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1026,20090518LALAL                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1027,20090615CAINS                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1028,20090624IAAPP                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1029,20090827NCWEF                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1030,20090908CTSTS                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1031,20090916VAVIG                                                                                                                     ,.40 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1032,20091008NYMAM                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1033,20091016SCCAC                                                                                                                     ,Service Weapon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1034,20091030CAWIL                                                                                                                     ,.25 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1035,20091106PAHAW                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
